YEAR,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Wind,Wood and Wood Derived Fuels,Unnamed: 15,Total
1992.0,WY,41380784.0,0.0,635640.0,341257.0,0.0,45396.0,0.0,8642.0,58483.0,0.0,0.0,0.0,3692.0,0.0,42473894.0
1993.0,AK,533123.0,0.0,1302992.0,3191814.0,0.0,0.0,15422.0,0.0,587422.0,0.0,0.0,0.0,90504.0,0.0,5721277.0
1993.0,AL,67336321.0,0.0,9034210.0,1260978.0,17823325.0,0.0,2383.0,338105.0,192944.0,0.0,0.0,0.0,3348730.0,0.0,99336996.0
1993.0,AR,18091528.0,0.0,4509292.0,2703261.0,13521676.0,0.0,29607.0,0.0,73127.0,0.0,0.0,0.0,1570163.0,0.0,40498654.0
1993.0,AZ,37272195.0,0.0,6697088.0,1936549.0,22048880.0,0.0,0.0,0.0,85442.0,325983.0,0.0,0.0,102849.0,0.0,68468986.0
1993.0,CA,3129951.0,14948113.0,40492526.0,79644169.0,31580692.0,11423.0,2891154.0,3097462.0,3601682.0,282924.0,462078.0,2983640.0,3864828.0,0.0,186990642.0
1993.0,CO,30701319.0,0.0,1911842.0,1510863.0,0.0,0.0,34448.0,0.0,8966.0,72745.0,0.0,0.0,0.0,0.0,34240183.0
1993.0,CT,3508317.0,0.0,414685.0,1383916.0,21801782.0,0.0,1395624.0,0.0,4384501.0,-4254.0,0.0,0.0,0.0,0.0,32884571.0
1993.0,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188452.0,0.0,0.0,0.0,0.0,0.0,188452.0
1993.0,DE,5374615.0,0.0,0.0,1029190.0,0.0,6049.0,0.0,103206.0,2504620.0,0.0,0.0,0.0,0.0,0.0,9017680.0
1993.0,FL,63138674.0,0.0,210776.0,20754801.0,25886864.0,1676955.0,3096959.0,72413.0,34727092.0,0.0,0.0,0.0,2369622.0,0.0,151934156.0
1993.0,GA,64252566.0,0.0,4456651.0,696214.0,27233352.0,0.0,113394.0,0.0,1137913.0,344444.0,0.0,0.0,3213037.0,0.0,101447571.0
1993.0,HI,1479074.0,152249.0,56243.0,0.0,0.0,0.0,777056.0,63068.0,7393981.0,0.0,0.0,21944.0,72.0,0.0,9943687.0
1993.0,IA,27531644.0,0.0,747182.0,448989.0,3235009.0,0.0,29264.0,0.0,56925.0,0.0,0.0,0.0,0.0,0.0,32049013.0
